Rodada,Time Mandante,Time Visitante,Gols Mandante,Gols Visitante,Estádio,Horário
Regular Season - 28,Bahia,Criciuma,,,Arena Fonte Nova,2024-09-29T00:00:00+00:00
Regular Season - 28,Flamengo,Atletico Paranaense,,,Estadio Jornalista Mário Filho,2024-09-29T00:00:00+00:00
Regular Season - 28,Botafogo,Gremio,,,Estádio Nilton Santos,2024-09-29T00:00:00+00:00
Regular Season - 28,Palmeiras,Atletico-MG,,,Allianz Parque,2024-09-29T00:00:00+00:00
Regular Season - 28,Sao Paulo,Corinthians,,,MorumBIS,2024-09-29T00:00:00+00:00
Regular Season - 28,Fortaleza EC,Cuiaba,,,Estádio Governador Plácido Aderaldo Castelo,2024-09-29T00:00:00+00:00
Regular Season - 28,Atletico Goianiense,Fluminense,,,Estádio Antônio Accioly,2024-09-29T00:00:00+00:00
Regular Season - 28,Juventude,RB Bragantino,,,Estádio Alfredo Jaconi,2024-09-29T00:00:00+00:00
Regular Season - 29,Gremio,Fortaleza EC,,,Arena do Grêmio,2024-10-05T00:00:00+00:00
Regular Season - 29,Atletico-MG,Vitoria,,,Arena MRV,2024-10-05T00:00:00+00:00
Regular Season - 29,Bahia,Flamengo,,,Arena Fonte Nova,2024-10-05T00:00:00+00:00
Regular Season - 29,Fluminense,Cruzeiro,,,Estadio Jornalista Mário Filho,2024-10-05T00:00:00+00:00
Regular Season - 29,Vasco DA Gama,Juventude,,,Estádio São Januário,2024-10-05T00:00:00+00:00
Regular Season - 29,Corinthians,Internacional,,,Neo Química Arena,2024-10-05T00:00:00+00:00
Regular Season - 29,RB Bragantino,Palmeiras,,,Estádio Nabi Abi Chedid,2024-10-05T00:00:00+00:00
Regular Season - 29,Atletico Paranaense,Botafogo,,,Ligga Arena,2024-10-05T00:00:00+00:00
Regular Season - 29,Cuiaba,Sao Paulo,,,Arena Pantanal,2024-10-05T00:00:00+00:00
Regular Season - 29,Criciuma,Atletico Goianiense,,,Estádio Heriberto Hülse,2024-10-05T00:00:00+00:00
Regular Season - 30,Internacional,Gremio,,,Estádio José Pinheiro Borda,2024-10-20T00:00:00+00:00
Regular Season - 30,Cruzeiro,Bahia,,,Estádio Governador Magalhães Pinto,2024-10-20T00:00:00+00:00
Regular Season - 30,Vitoria,RB Bragantino,,,Estádio Manoel Barradas,2024-10-20T00:00:00+00:00
Regular Season - 30,Flamengo,Fluminense,,,Estadio Jornalista Mário Filho,2024-10-20T00:00:00+00:00
Regular Season - 30,Botafogo,Criciuma,,,Estádio Nilton Santos,2024-10-20T00:00:00+00:00
Regular Season - 30,Corinthians,Atletico Paranaense,,,Neo Química Arena,2024-10-20T00:00:00+00:00
Regular Season - 30,Sao Paulo,Vasco DA Gama,,,MorumBIS,2024-10-20T00:00:00+00:00
Regular Season - 30,Fortaleza EC,Atletico-MG,,,Estádio Governador Plácido Aderaldo Castelo,2024-10-20T00:00:00+00:00
Regular Season - 30,Atletico Goianiense,Cuiaba,,,Estádio Antônio Accioly,2024-10-20T00:00:00+00:00
Regular Season - 30,Juventude,Palmeiras,,,Estádio Alfredo Jaconi,2024-10-20T00:00:00+00:00
Regular Season - 31,Gremio,Atletico Goianiense,,,Arena do Grêmio,2024-10-26T00:00:00+00:00
Regular Season - 31,Atletico-MG,Internacional,,,Arena MRV,2024-10-26T00:00:00+00:00
Regular Season - 31,Vitoria,Fluminense,,,Estádio Manoel Barradas,2024-10-26T00:00:00+00:00
Regular Season - 31,Flamengo,Juventude,,,Estadio Jornalista Mário Filho,2024-10-26T00:00:00+00:00
Regular Season - 31,Vasco DA Gama,Bahia,,,Estádio São Januário,2024-10-26T00:00:00+00:00
Regular Season - 31,Palmeiras,Fortaleza EC,,,Allianz Parque,2024-10-26T00:00:00+00:00
Regular Season - 31,RB Bragantino,Botafogo,,,Estádio Nabi Abi Chedid,2024-10-26T00:00:00+00:00
Regular Season - 31,Atletico Paranaense,Cruzeiro,,,Ligga Arena,2024-10-26T00:00:00+00:00
Regular Season - 31,Cuiaba,Corinthians,,,Arena Pantanal,2024-10-26T00:00:00+00:00
Regular Season - 31,Criciuma,Sao Paulo,,,Estádio Heriberto Hülse,2024-10-26T00:00:00+00:00
Regular Season - 32,Internacional,Criciuma,,,Estádio José Pinheiro Borda,2024-11-06T00:00:00+00:00
Regular Season - 32,Cruzeiro,Flamengo,,,Estádio Governador Magalhães Pinto,2024-11-06T00:00:00+00:00
Regular Season - 32,Bahia,Sao Paulo,,,Arena Fonte Nova,2024-11-06T00:00:00+00:00
Regular Season - 32,Fluminense,Gremio,,,Estadio Jornalista Mário Filho,2024-11-06T00:00:00+00:00
Regular Season - 32,Botafogo,Vasco DA Gama,,,Estádio Nilton Santos,2024-11-06T00:00:00+00:00
Regular Season - 32,Corinthians,Palmeiras,,,Neo Química Arena,2024-11-06T00:00:00+00:00
Regular Season - 32,RB Bragantino,Cuiaba,,,Estádio Nabi Abi Chedid,2024-11-06T00:00:00+00:00
Regular Season - 32,Atletico Paranaense,Vitoria,,,Ligga Arena,2024-11-06T00:00:00+00:00
Regular Season - 32,Atletico Goianiense,Atletico-MG,,,Estádio Antônio Accioly,2024-11-06T00:00:00+00:00
Regular Season - 32,Juventude,Fortaleza EC,,,Estádio Alfredo Jaconi,2024-11-06T00:00:00+00:00
Regular Season - 33,Internacional,Fluminense,,,Estádio José Pinheiro Borda,2024-11-13T00:00:00+00:00
Regular Season - 33,Cruzeiro,Criciuma,,,Estádio Governador Magalhães Pinto,2024-11-13T00:00:00+00:00
Regular Season - 33,Vitoria,Corinthians,,,Estádio Manoel Barradas,2024-11-13T00:00:00+00:00
Regular Season - 33,Flamengo,Atletico-MG,,,Estadio Jornalista Mário Filho,2024-11-13T00:00:00+00:00
Regular Season - 33,Botafogo,Cuiaba,,,Estádio Nilton Santos,2024-11-13T00:00:00+00:00
Regular Season - 33,Palmeiras,Gremio,,,Allianz Parque,2024-11-13T00:00:00+00:00
Regular Season - 33,Sao Paulo,Atletico Paranaense,,,MorumBIS,2024-11-13T00:00:00+00:00
Regular Season - 33,Fortaleza EC,Vasco DA Gama,,,Estádio Governador Plácido Aderaldo Castelo,2024-11-13T00:00:00+00:00
Regular Season - 33,Atletico Goianiense,RB Bragantino,,,Estádio Antônio Accioly,2024-11-13T00:00:00+00:00
Regular Season - 33,Juventude,Bahia,,,Estádio Alfredo Jaconi,2024-11-13T00:00:00+00:00
Regular Season - 34,Gremio,Juventude,,,Arena do Grêmio,2024-11-20T00:00:00+00:00
Regular Season - 34,Atletico-MG,Botafogo,,,Arena MRV,2024-11-20T00:00:00+00:00
Regular Season - 34,Bahia,Palmeiras,,,Arena Fonte Nova,2024-11-20T00:00:00+00:00
Regular Season - 34,Fluminense,Fortaleza EC,,,Estadio Jornalista Mário Filho,2024-11-20T00:00:00+00:00
Regular Season - 34,Vasco DA Gama,Internacional,,,Estádio São Januário,2024-11-20T00:00:00+00:00
Regular Season - 34,Corinthians,Cruzeiro,,,Neo Química Arena,2024-11-20T00:00:00+00:00
Regular Season - 34,RB Bragantino,Sao Paulo,,,Estádio Nabi Abi Chedid,2024-11-20T00:00:00+00:00
Regular Season - 34,Atletico Paranaense,Atletico Goianiense,,,Ligga Arena,2024-11-20T00:00:00+00:00
Regular Season - 34,Cuiaba,Flamengo,,,Arena Pantanal,2024-11-20T00:00:00+00:00
Regular Season - 34,Criciuma,Vitoria,,,Estádio Heriberto Hülse,2024-11-20T00:00:00+00:00
Regular Season - 35,Internacional,RB Bragantino,,,Estádio José Pinheiro Borda,2024-11-24T00:00:00+00:00
Regular Season - 35,Cruzeiro,Gremio,,,Estádio Governador Magalhães Pinto,2024-11-24T00:00:00+00:00
Regular Season - 35,Bahia,Atletico Paranaense,,,Arena Fonte Nova,2024-11-24T00:00:00+00:00
Regular Season - 35,Fluminense,Criciuma,,,Estadio Jornalista Mário Filho,2024-11-24T00:00:00+00:00
Regular Season - 35,Botafogo,Vitoria,,,Estádio Nilton Santos,2024-11-24T00:00:00+00:00
Regular Season - 35,Corinthians,Vasco DA Gama,,,Neo Química Arena,2024-11-24T00:00:00+00:00
Regular Season - 35,Sao Paulo,Atletico-MG,,,MorumBIS,2024-11-24T00:00:00+00:00
Regular Season - 35,Fortaleza EC,Flamengo,,,Estádio Governador Plácido Aderaldo Castelo,2024-11-24T00:00:00+00:00
Regular Season - 35,Atletico Goianiense,Palmeiras,,,Estádio Antônio Accioly,2024-11-24T00:00:00+00:00
Regular Season - 35,Juventude,Cuiaba,,,Estádio Alfredo Jaconi,2024-11-24T00:00:00+00:00
Regular Season - 36,Gremio,Sao Paulo,,,Arena do Grêmio,2024-12-01T00:00:00+00:00
Regular Season - 36,Atletico-MG,Juventude,,,Arena MRV,2024-12-01T00:00:00+00:00
Regular Season - 36,Vitoria,Fortaleza EC,,,Estádio Manoel Barradas,2024-12-01T00:00:00+00:00
Regular Season - 36,Flamengo,Internacional,,,Estadio Jornalista Mário Filho,2024-12-01T00:00:00+00:00
Regular Season - 36,Vasco DA Gama,Atletico Goianiense,,,Estádio São Januário,2024-12-01T00:00:00+00:00
Regular Season - 36,Palmeiras,Botafogo,,,Allianz Parque,2024-12-01T00:00:00+00:00
Regular Season - 36,RB Bragantino,Cruzeiro,,,Estádio Nabi Abi Chedid,2024-12-01T00:00:00+00:00
Regular Season - 36,Atletico Paranaense,Fluminense,,,Ligga Arena,2024-12-01T00:00:00+00:00
Regular Season - 36,Cuiaba,Bahia,,,Arena Pantanal,2024-12-01T00:00:00+00:00
Regular Season - 36,Criciuma,Corinthians,,,Estádio Heriberto Hülse,2024-12-01T00:00:00+00:00
Regular Season - 37,Internacional,Botafogo,,,Estádio José Pinheiro Borda,2024-12-04T00:00:00+00:00
Regular Season - 37,Cruzeiro,Palmeiras,,,Estádio Governador Magalhães Pinto,2024-12-04T00:00:00+00:00
Regular Season - 37,Vitoria,Gremio,,,Estádio Manoel Barradas,2024-12-04T00:00:00+00:00
Regular Season - 37,Fluminense,Cuiaba,,,Estadio Jornalista Mário Filho,2024-12-04T00:00:00+00:00
Regular Season - 37,Vasco DA Gama,Atletico-MG,,,Estádio São Januário,2024-12-04T00:00:00+00:00
Regular Season - 37,Corinthians,Bahia,,,Neo Química Arena,2024-12-04T00:00:00+00:00
Regular Season - 37,Sao Paulo,Juventude,,,Estádio Cícero Pompeu de Toledo,2024-12-04T00:00:00+00:00
Regular Season - 37,Atletico Paranaense,RB Bragantino,,,Ligga Arena,2024-12-04T00:00:00+00:00
Regular Season - 37,Atletico Goianiense,Fortaleza EC,,,Estádio Antônio Accioly,2024-12-04T00:00:00+00:00
Regular Season - 37,Criciuma,Flamengo,,,Estádio Heriberto Hülse,2024-12-04T00:00:00+00:00
Regular Season - 38,Gremio,Corinthians,,,Arena do Grêmio,2024-12-08T00:00:00+00:00
Regular Season - 38,Atletico-MG,Atletico Paranaense,,,Arena MRV,2024-12-08T00:00:00+00:00
Regular Season - 38,Bahia,Atletico Goianiense,,,Arena Fonte Nova,2024-12-08T00:00:00+00:00
Regular Season - 38,Flamengo,Vitoria,,,Estadio Jornalista Mário Filho,2024-12-08T00:00:00+00:00
Regular Season - 38,Botafogo,Sao Paulo,,,Estádio Nilton Santos,2024-12-08T00:00:00+00:00
Regular Season - 38,Palmeiras,Fluminense,,,Allianz Parque,2024-12-08T00:00:00+00:00
Regular Season - 38,RB Bragantino,Criciuma,,,Estádio Nabi Abi Chedid,2024-12-08T00:00:00+00:00
Regular Season - 38,Fortaleza EC,Internacional,,,Estádio Governador Plácido Aderaldo Castelo,2024-12-08T00:00:00+00:00
Regular Season - 38,Cuiaba,Vasco DA Gama,,,Arena Pantanal,2024-12-08T00:00:00+00:00
Regular Season - 38,Juventude,Cruzeiro,,,Estádio Alfredo Jaconi,2024-12-08T00:00:00+00:00
